username,text
'Sina Bamtefa,wife spoilt silli sheer hospit wonder stay issu could given hard bed mattress experienc back pain throughout stay
007lele,comfort bed clean room friendli staff miss contin breakfast grab fruit coff left pool area nice kid mini water park went hot tub 10 pm place nice ok ok nice one kushal bhai demo review 1
0501MVKG,arriv hotel experienc wonder front desk staff check quick room 42 floor great view room clean eveyth could need bed comfort didnt miss bed home like usual
0ls0njo,room clean cant beat locat riviera bar pool roof nice amen relax hour night life walk minut whatev want french quarter
0theHero,everyth brand new last 10 percent renov beauti websit pictur indic old hadnt updat photo yet plea see new remodel great locat outlet mall breakfast wonder
103bennier,even though build older devor nice holiday room clean gal breakfast nook super attent friendli
106PamelaL,stay car show 5 year old grandson complaint ice machin floor didnt work staff great bed sleep number bed wifi work
108peggyt,except highway noi room fine followup custom servic w except id left pur behind 6 hour away discov miss mr patel went way get next day thank
112traveler47,second stay st regi time book american express platinum concierg part fine hotel program book 2 day third night comp also includ 10000 toward meal complet breakfast 2 upon check hugo acknowledg platinum spg guest upgrad us madison suit everi room come butler bring complimentari tea coff servic hou bentley avail first comefirst serv basi food extrem good restaur king cole bar intern famousdear 112traveler47 thank much stay st regi new york recent visit new york cityw grate feedback thank take time review experi tripadvisor hope see soonsinc octavia margineanhotel manag
121dawne,look clean place crash night busi meet next day old tenament build smell build tell tri keep clean met hooker outsid congreg front entranc
1235ericat,great place stay room clean comfi bed beer garden great idea good beer watch game good snack good balconi nice add perfect weather enjoy coff back
12bettyh,stay short conveni plan price great neg would allow accumul wyndham point use book agent
13Chris14,peopl front desk rude help concert weekend look book hang care hotel alreadi book low class servic
144tonyac,hotel stay great good servic custom care alway live concert river enjoy happi hour patio colorado bell awesom realli enjoy 5 blackjack two deck tabl
146maryw2016,worst hampton inn stay far trip drape didnt closeso light eye night control panel ac didnt work could get cold heat blew flimsi curtain open nightlight wasnt work candi machin melt candi wifi extrem complic get
155hannahp,dont realli understand hotel bad rate 60 night got clean room concret balconi work televi breakfast even pool 60 women front desk extrem help kind hotel also work extrem reliabl taxi servic
157saundrac,second time stay properti beauti set cottag experi make feel like home away home privat patio heater outdoor shower treat dine venu delici
185robynp,hotel outskirt napa valley provid excel base tour area staff excel provid us lot local inform recommend specif request provid us lot option stay friendli inform would recommend hotel pure standard recept staffdear 185robynpthank take time review hotel im plea enjoy stay staff abl help plan around valley hope see soon cheer genaf
189heather,got jacuzzi suit room nice clean pictur room look bigger onlin like fact window open bed comfort locat good next steak hou starbuck plu right 15 fwi custom servic great well come back
18dianea,staff extrem accommod whenev need room clean pleasant locat within walk distanc sever great venu atlanta hard time locat entranc check howev
191melvinp,great time clean hotel love area love fact room clean bed comfort famili enjoy stay great servic staff bend backward support need
195katag,long 2week trip stay hotel luxuri everyth perfect best hotel ever stay staff also outstand especi danni front desk hope back
1965woodie,return short break anoth outstand disney resort saratoga spring huge resort warn use disney transport throughout stay airport around park hotel resort probabl longest wait around 15 minut shortest 1 minut 1 bedroom apart
1995mp,stay week board carniv glori amaz room comfort realli realli enjoy towel anim even chocol pillow love touch visit octob hotel wasnt busi like restaur hotel nice whenev couldnt finish
1Beniciablonde,inn perfect locat amen give comfort desir breakfast good mani choic abl dog us real plu local eateri good diver
